#lab INRiM MiCa
#hv keithley6487
#s CNTArO2Etching_AsGrown
#t 2.7 
#d 1.5
#N 20
#dbm 2
#
#Voltage	Current	SD
#V	pA
356.400000	-32.337110	0.452367
356.200000	-32.275360	0.425173
356.000000	-32.106660	0.435326
355.800000	-31.462380	0.284468
355.600000	-31.186710	0.342963
355.400000	-30.696390	0.390867
355.200000	-30.463970	0.365743
355.000000	-30.131100	0.305074
354.800000	-29.867320	0.278687
354.600000	-29.666440	0.302389
354.400000	-29.548950	0.309829
354.200000	-29.238430	0.346336
354.000000	-28.577960	0.333136
353.800000	-27.645720	0.378628
353.600000	-27.586690	0.403204
353.400000	-27.461010	0.400572
353.200000	-27.391340	0.318737
353.000000	-27.382660	0.427431
352.800000	-27.293420	0.417398
352.600000	-27.000360	0.335696
352.400000	-26.879360	0.301292
352.200000	-26.799830	0.349242
352.000000	-26.489920	0.321593
351.800000	-26.460580	0.307802
351.600000	-26.414190	0.345585
351.400000	-26.265280	0.308751
351.200000	-26.087700	0.301754
351.000000	-25.985740	0.362199
350.800000	-25.788220	0.345329
350.600000	-25.766520	0.328453
350.400000	-25.688890	0.392869
350.200000	-25.345930	0.295463
350.000000	-25.231250	0.293291
349.800000	-25.211440	0.372597
349.600000	-25.041970	0.328672
349.400000	-24.938810	0.369094
349.200000	-24.496480	0.310769
349.000000	-24.421560	0.306248
348.800000	-24.322170	0.366707
348.600000	-24.009490	0.345123
348.400000	-23.443880	0.298513
348.200000	-23.423760	0.338792
348.000000	-23.315930	0.317559
347.800000	-23.205060	0.295076
347.600000	-22.902580	0.279709
347.400000	-21.786560	0.302372
347.200000	-16.246190	0.313452
347.000000	-15.111140	0.284797
346.800000	-15.047320	0.344265
346.600000	-14.904970	0.305353
346.400000	-14.836030	0.303925
346.200000	-14.828360	0.308405
346.000000	-14.545040	0.322938
345.800000	-14.079910	0.317408
345.600000	-13.974370	0.336408
345.400000	-13.884390	0.339584
345.200000	-13.862720	0.312049
345.000000	-13.828790	0.358466
344.800000	-13.699030	0.315340
344.600000	-13.659520	0.332369
344.400000	-13.438080	0.358445
344.200000	-13.399300	0.355318
344.000000	-13.339230	0.354715
343.800000	-13.212020	0.365006
343.600000	-13.164230	0.329375
343.400000	-12.994450	0.320149
343.200000	-12.885170	0.290829
343.000000	-12.731060	0.286663
342.800000	-12.635910	0.340277
342.600000	-12.516060	0.285156
342.400000	-12.350020	0.285684
342.200000	-12.292300	0.282603
342.000000	-12.270880	0.315203
341.800000	-12.277150	0.343201
341.600000	-12.047700	0.314717
341.400000	-11.964580	0.288395
341.200000	-11.721200	0.244555
341.000000	-11.723940	0.331735
340.800000	-11.667160	0.284027
340.600000	-11.584190	0.330608
340.400000	-11.217930	0.360097
340.200000	-10.913880	0.410291
340.000000	-10.642700	0.312968
339.800000	-10.561230	0.333875
339.600000	-10.523100	0.347577
339.400000	-10.400540	0.376875
339.200000	-10.317560	0.345604
339.000000	-9.915156	0.324101
338.800000	-9.836803	0.380862
338.600000	-9.826933	0.335529
338.400000	-9.720584	0.272468
338.200000	-9.657401	0.338673
338.000000	-9.598404	0.306233
337.800000	-9.153196	0.307505
337.600000	-6.283863	0.318643
337.400000	-6.223337	0.327342
337.200000	-5.914770	0.292766
337.000000	-5.826700	0.314381
336.800000	-5.730978	0.295410
336.600000	-5.683169	0.260329
336.400000	-5.586514	0.306822
336.200000	-5.592949	0.335168
336.000000	-5.554220	0.256167
335.800000	-5.557128	0.281882
335.600000	-5.465389	0.312342
335.400000	-5.444443	0.281253
335.200000	-5.346279	0.299031
335.000000	-5.364429	0.286155
334.800000	-5.335548	0.285832
334.600000	-5.276419	0.288516
334.400000	-5.244528	0.295510
334.200000	-5.238681	0.315410
334.000000	-5.245198	0.331782
333.800000	-5.123687	0.286623
333.600000	-5.048860	0.318985
333.400000	-5.028645	0.254815
333.200000	-5.039507	0.306120
333.000000	-4.997940	0.359167
332.800000	-4.962999	0.364613
332.600000	-4.936327	0.310846
332.400000	-4.739057	0.297662
332.200000	-4.531178	0.326611
332.000000	-4.236403	0.309872
331.800000	-4.187002	0.302561
331.600000	-4.154058	0.279158
331.400000	-4.105741	0.274581
331.200000	-4.094351	0.281009
331.000000	-4.082385	0.300261
330.800000	-4.036146	0.309967
330.600000	-4.010953	0.339722
330.400000	-3.977300	0.317055
330.200000	-3.980523	0.277861
330.000000	-3.971564	0.319811
329.800000	-3.932094	0.324522
329.600000	-3.924373	0.325271
329.400000	-3.880920	0.343183
329.200000	-3.850044	0.307985
329.000000	-3.759085	0.299922
328.800000	-3.751281	0.295929
328.600000	-3.741604	0.290167
328.400000	-3.721114	0.299526
328.200000	-3.702965	0.319826
328.000000	-3.701111	0.320939
327.800000	-3.692295	0.317077
327.600000	-3.676415	0.324326
327.400000	-3.621248	0.317475
327.200000	-3.600434	0.277148
327.000000	-3.283183	0.278616
326.800000	-2.613983	0.303728
326.600000	-2.571757	0.295325
326.400000	-2.570976	0.298284
326.200000	-2.527331	0.303977
326.000000	-2.441916	0.252725
325.800000	-2.418416	0.294217
325.600000	-2.407137	0.314755
325.400000	-2.382138	0.280281
325.200000	-2.439098	0.353779
325.000000	-2.379189	0.327157
324.800000	-2.346559	0.265461
324.600000	-2.340063	0.294348
324.400000	-2.366228	0.342686
324.200000	-2.152015	0.300805
324.000000	-2.134818	0.297225
323.800000	-2.029592	0.295943
323.600000	-1.908921	0.292183
323.400000	-1.071160	0.345138
323.200000	-0.618402	0.352900
323.000000	-0.552038	0.317116
322.800000	-0.613559	0.302013
322.600000	-0.597933	0.290851
322.400000	-0.588478	0.329578
322.200000	-0.573288	0.342021
322.000000	-0.571596	0.318253
321.800000	-0.512750	0.299773
321.600000	-0.550275	0.301343
321.400000	-0.519844	0.292405
321.200000	-0.510014	0.260197
321.000000	-0.518698	0.288163
320.800000	-0.535338	0.313223
320.600000	-0.484336	0.282530
320.400000	-0.501441	0.289736
320.200000	-0.497094	0.292465
320.000000	-0.496780	0.290036
319.800000	-0.447389	0.270101
319.600000	-0.431580	0.284701
319.400000	-0.443781	0.278587
319.200000	-0.483464	0.317693
319.000000	-0.434225	0.288916
318.800000	-0.416329	0.277586
318.600000	-0.323000	0.348299
318.400000	-0.327358	0.297640
318.200000	-0.304842	0.301750
318.000000	-0.239097	0.360502
317.800000	-0.212222	0.359173
317.600000	-0.290300	0.337176
317.400000	-0.292045	0.350189
317.200000	-0.246119	0.331919
317.000000	-0.193394	0.338134
316.800000	-0.236847	0.352406
316.600000	-0.230047	0.331058
316.400000	-0.193141	0.351526
316.200000	-0.186961	0.351666
316.000000	-0.177240	0.277913
315.800000	-0.220733	0.296394
315.600000	-0.195400	0.306518
315.400000	-0.168556	0.335919
315.200000	-0.196616	0.332585
315.000000	-0.215576	0.364831
314.800000	-0.163056	0.366660
314.600000	-0.135462	0.348719
314.400000	-0.169356	0.318389
314.200000	-0.196352	0.307129
314.000000	-0.154298	0.310358
313.800000	-0.090562	0.335253
313.600000	-0.053756	0.304235
313.400000	-0.120991	0.341588
313.200000	-0.110846	0.327568
313.000000	-0.077031	0.303843
312.800000	-0.054325	0.341508
312.600000	-0.095260	0.303727
312.400000	-0.095454	0.274804
312.200000	-0.092434	0.309019
312.000000	-0.040795	0.304343
311.800000	-0.099923	0.286662
311.600000	-0.066200	0.298615
311.400000	-0.070910	0.272861
311.200000	-0.070453	0.255648
311.000000	-0.090985	0.295161
310.800000	-0.069200	0.313407
310.600000	-0.081866	0.297312
310.400000	-0.040370	0.318510
310.200000	-0.068063	0.287448
310.000000	-0.051646	0.280419
309.800000	-0.051588	0.330628
309.600000	-0.038495	0.305633
309.400000	-0.091340	0.284319
309.200000	-0.058530	0.356530
309.000000	-0.042406	0.329676
308.800000	0.004846	0.283126
308.600000	0.006566	0.350177
308.400000	0.032132	0.359964
308.200000	0.016125	0.275676
308.000000	0.057812	0.295590
307.800000	0.040453	0.327254
307.600000	0.015779	0.275940
307.400000	0.035892	0.317174
307.200000	0.066921	0.301227
307.000000	0.040698	0.280051
306.800000	0.026136	0.310607
306.600000	0.035172	0.332057
306.400000	0.101614	0.349288
306.200000	0.052267	0.365104
306.000000	0.042784	0.310608
305.800000	0.032286	0.318072
305.600000	0.070871	0.346673
305.400000	0.127160	0.356155
305.200000	0.068480	0.356228
305.000000	0.019547	0.340826
304.800000	0.082911	0.325389
304.600000	0.112804	0.316962
304.400000	0.070657	0.368043
304.200000	0.056463	0.317125
304.000000	0.044263	0.323279
303.800000	0.091130	0.289886
303.600000	0.076699	0.298215
303.400000	0.069607	0.281751
303.200000	0.032984	0.331957
303.000000	0.083003	0.293029
302.800000	0.089802	0.301253
302.600000	0.085019	0.269548
302.400000	0.060691	0.254718
302.200000	0.086588	0.339840
302.000000	0.070336	0.305305
301.800000	0.105205	0.289280
301.600000	0.077226	0.329049
301.400000	0.068318	0.317886
301.200000	0.083955	0.306175
301.000000	0.122156	0.333720
300.800000	0.075108	0.302749
300.600000	0.097016	0.292405
300.400000	0.075758	0.299453
300.200000	0.119156	0.323745
300.000000	0.111770	0.290529
299.800000	0.099931	0.433410
299.600000	0.102871	0.362326
299.400000	0.171766	0.342101
299.200000	0.114930	0.350040
299.000000	0.051818	0.400131
298.800000	0.098615	0.376580
298.600000	0.186579	0.399684
298.400000	0.152381	0.379070
298.200000	0.111394	0.352357
298.000000	0.060980	0.383311
297.800000	0.136636	0.340499
297.600000	0.165788	0.359259
297.400000	0.130718	0.324026
297.200000	0.098850	0.320738
297.000000	0.105883	0.329668
296.800000	0.194371	0.424350
296.600000	0.155169	0.350315
296.400000	0.104169	0.326878
296.200000	0.112702	0.321584
296.000000	0.154068	0.260691
295.800000	0.139302	0.314273
295.600000	0.149496	0.304035
295.400000	0.102701	0.312367
295.200000	0.122035	0.290121
295.000000	0.161562	0.353390
294.800000	0.156061	0.333777
294.600000	0.095820	0.311046
294.400000	0.130609	0.292115
294.200000	0.145948	0.301825
294.000000	0.136312	0.312252
293.800000	0.114951	0.318149
293.600000	0.128560	0.348199
293.400000	0.142270	0.324503
293.200000	0.141875	0.299675
293.000000	0.125986	0.331276
292.800000	0.115992	0.391026
292.600000	0.148308	0.363054
292.400000	0.167218	0.322495
292.200000	0.118640	0.313789
292.000000	0.106945	0.345184
291.800000	0.160114	0.336622
291.600000	0.146810	0.295924
291.400000	0.132210	0.265967
291.200000	0.150946	0.265039
291.000000	0.152901	0.278397
290.800000	0.130020	0.301954
290.600000	0.147316	0.330000
290.400000	0.133242	0.316111
290.200000	0.160268	0.274538
290.000000	0.149436	0.284786
